title,link
Julian Edelman already has new sport in mind for Tom Brady - Yahoo Sports,https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9qdWxpYW4tZWRlbG1hbi1hbHJlYWR5LXNwb3J0LW1pbmQtMTc1OTE2NzE2Lmh0bWzSAVFodHRwczovL3Nwb3J0cy55YWhvby5jb20vYW1waHRtbC9qdWxpYW4tZWRlbG1hbi1hbHJlYWR5LXNwb3J0LW1pbmQtMTc1OTE2NzE2Lmh0bWw?oc=5
Tom Brady or Greg Olsen? Fox has a future decision to make on its No. 1 analyst - Yahoo Sports,https://news.google.com/rss/articles/CBMidWh0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS90b20tYnJhZHktb3ItZ3JlZy1vbHNlbi1mb3gtaGFzLWEtZnV0dXJlLWRlY2lzaW9uLXRvLW1ha2Utb24taXRzLW5vLTEtYW5hbHlzdC0xNzEzMDU3MTcuaHRtbNIBfWh0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9hbXBodG1sL3RvbS1icmFkeS1vci1ncmVnLW9sc2VuLWZveC1oYXMtYS1mdXR1cmUtZGVjaXNpb24tdG8tbWFrZS1vbi1pdHMtbm8tMS1hbmFseXN0LTE3MTMwNTcxNy5odG1s?oc=5
"Tom Brady's Parents Kiss Granddaughter Vivian, 10, in Rare Photo - PEOPLE",https://news.google.com/rss/articles/CBMia2h0dHBzOi8vcGVvcGxlLmNvbS9wYXJlbnRzL3RvbS1icmFkeS1yYXJlLXBob3RvLXBhcmVudHMta2lzc2luZy1ncmFuZGRhdWdodGVyLXZpdmlhbi1hZnRlci1yZXRpcmVtZW50LW5ld3Mv0gEA?oc=5
Tom Brady Was Reportedly Only Considering 1 Team Next Year - The Spun,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vdGhlc3B1bi5jb20vbW9yZS90b3Atc3Rvcmllcy90b20tYnJhZHktd2FzLXJlcG9ydGVkbHktb25seS1jb25zaWRlcmluZy0xLXRlYW0tbmV4dC15ZWFy0gFkaHR0cHM6Ly90aGVzcHVuLmNvbS8uYW1wL21vcmUvdG9wLXN0b3JpZXMvdG9tLWJyYWR5LXdhcy1yZXBvcnRlZGx5LW9ubHktY29uc2lkZXJpbmctMS10ZWFtLW5leHQteWVhcg?oc=5
NFL Rumors: These three teams will pursue Tom Brady in free agency - Yahoo Sports,https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9uZmwtcnVtb3JzLXRocmVlLXRlYW1zLXB1cnN1ZS0xODA3MDA3NzYuaHRtbNIBTWh0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9hbXBodG1sL25mbC1ydW1vcnMtdGhyZWUtdGVhbXMtcHVyc3VlLTE4MDcwMDc3Ni5odG1s?oc=5
"Tom Brady's the G.O.A.T. of G.O.A.T.s, Andy Reid's Super man and Sean Payton's the Broncos' savior - NFL.com",https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3Lm5mbC5jb20vbmV3cy90b20tYnJhZHktcy10aGUtZy1vLWEtdC1vZi1nLW8tYS10LXMtYW5keS1yZWlkLXMtc3VwZXItbWFuLWFuZC1zZWFuLXBheXRvbi1zLXRoZdIBaWh0dHBzOi8vd3d3Lm5mbC5jb20vX2FtcC90b20tYnJhZHktcy10aGUtZy1vLWEtdC1vZi1nLW8tYS10LXMtYW5keS1yZWlkLXMtc3VwZXItbWFuLWFuZC1zZWFuLXBheXRvbi1zLXRoZQ?oc=5
AFC team reportedly preparing to make run at Tom Brady - Larry Brown Sports,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vbGFycnlicm93bnNwb3J0cy5jb20vZm9vdGJhbGwvcmFpZGVycy1wcmVwYXJpbmctdG8tbWFrZS1ydW4tdG9tLWJyYWR5LzYwOTkwONIBWGh0dHBzOi8vbGFycnlicm93bnNwb3J0cy5jb20vZm9vdGJhbGwvcmFpZGVycy1wcmVwYXJpbmctdG8tbWFrZS1ydW4tdG9tLWJyYWR5LzYwOTkwOD9hbXA?oc=5
Sit this one out? Not Tom Brady. 'I'm ready to play.' - Tampa Bay Times,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LnRhbXBhYmF5LmNvbS9zcG9ydHMvYnVjcy8yMDIzLzAxLzA1L3NpdC10aGlzLW9uZS1vdXQtbm90LXRvbS1icmFkeS1pbS1yZWFkeS1wbGF5L9IBbGh0dHBzOi8vd3d3LnRhbXBhYmF5LmNvbS9zcG9ydHMvYnVjcy8yMDIzLzAxLzA1L3NpdC10aGlzLW9uZS1vdXQtbm90LXRvbS1icmFkeS1pbS1yZWFkeS1wbGF5Lz9vdXRwdXRUeXBlPWFtcA?oc=5
Single Tom Brady seeks to tie married Tom Brady with four Super Bowl titles - Marca English,https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3Lm1hcmNhLmNvbS9lbi9uZmwvc3VwZXItYm93bC8yMDIzLzAxLzEwLzYzYmNlNzJmZTI3MDRlZWM3NzhiNDU5Yi5odG1s0gFQaHR0cHM6Ly9hbXAubWFyY2EuY29tL2VuL25mbC9zdXBlci1ib3dsLzIwMjMvMDEvMTAvNjNiY2U3MmZlMjcwNGVlYzc3OGI0NTliLmh0bWw?oc=5
"Will the fourth time be a charm for 49ers, Tom Brady? - NBC Sports",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vcHJvZm9vdGJhbGx0YWxrLm5iY3Nwb3J0cy5jb20vMjAyMy8wMS8xNC93aWxsLXRoZS1mb3VydGgtdGltZS1iZS1hLWNoYXJtLWZvci00OWVycy10b20tYnJhZHkv0gFpaHR0cHM6Ly9wcm9mb290YmFsbHRhbGsubmJjc3BvcnRzLmNvbS8yMDIzLzAxLzE0L3dpbGwtdGhlLWZvdXJ0aC10aW1lLWJlLWEtY2hhcm0tZm9yLTQ5ZXJzLXRvbS1icmFkeS9hbXAv?oc=5
Rob Gronkowski Says He Would 'Be Surprised' if Tom Brady ... - PEOPLE,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vcGVvcGxlLmNvbS9zcG9ydHMvcm9iLWdyb25rb3dza2ktc2F5cy1oZWQtYmUtc3VycHJpc2VkLWlmLXRvbS1icmFkeS1yZXR1cm5zLXRvLXBhdHJpb3RzL9IBAA?oc=5
