title,soldprice,solddate,link
2018 Donruss Elite Tom Brady #92 NM-MT 8 Mint Patriots Graded *Invest*,1.25,"Sold  Feb 1, 2023",https://www.ebay.com/itm/314349926329?hash=item4930b737b9%3Ag%3AFWQAAOSwEm9iJCN5&amdata=enc%3AAQAHAAAA4LhLKaIC%2Fa2VRLYqgsxS9AAj%2FJRnKLcDJbZHwzv9ZmU9NlXWuI%2B4GJ%2BBHAxxiaaU77gKwPh0ltqLzI37TvjdMhReJFlL97xia8RVjlqQZsBg8p%2FG68erE0sAFp3j8A4zjkAnIh4qRQdjukofCdfhuvgNq6hq6u2wAVUHC7M5R0z6TeXa2L%2F84xU6um%2BEW%2B5j6sLI75FEsTeaIAyDVJwVmGCwemeXDk6%2BA4CfL1qCnyaS0IYk1%2BoBgDSYRg8LR7KocT1GmXiTdEn5ceaHcqfM25qaHpmm%2F%2BSkFcmU5M4%2BHjei%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
2002 SP Authentic #1 Tom Brady PSA 9 Mint New England Patriots ,51.0,"Sold  Feb 1, 2023",https://www.ebay.com/itm/185751187892?hash=item2b3fa231b4%3Ag%3AlaUAAOSw-VNj0gwW&amdata=enc%3AAQAHAAAAoGIORe4ydBKQ252LvgD6uaMUwtj2CLl1Idmlr97GLd3cTs%2BwWUJlyIdYyxDgDeWPpwsOB%2Fe7sypKWyrcYJATS19dHZPWZQgW5Q9Ma7%2Fnxqh%2FEoOciz8mHkePaLg%2Bxh1xBr1wor609Avfs4KQxck8CMs5wqMS2pCdPe9yNULzhqEnM2ClZzWzGMEZkPVgv5RTVjHTsAROrv1AF%2FG1JyW0B%2BY%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
2016 Score Signal Callers Gold Tom Brady New England Patriots #15,1.75,"Sold  Feb 1, 2023",https://www.ebay.com/itm/165906533458?hash=item26a0cccc52%3Ag%3AqisAAOSwZG1j0gwY&amdata=enc%3AAQAHAAAAoI5WSBQ5G1O0tKlttWlMhGJgAstMhcMY8Z3%2B7OiCZssJsbvM%2BpG7XOpU6vSyxhNRQnr9yGNJ14QxNFePEWWsfBn9pvydYS7quliZ0c35dSFok6F7QfyNqQECMSJzquSyuvYw4b9aMz%2Fkt%2B1vT188hSWyzwR6dEe4oG6Y8za7czVpdBSteK03x8yNIZFncV%2B%2B7JSS5aulcAOR5DObV7GVGEs%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
2006 Fleer Ultra Tom Brady #114,0.99,"Sold  Feb 1, 2023",https://www.ebay.com/itm/255946360058?hash=item3b979784fa%3Ag%3AmBQAAOSwwXxjyNE0&amdata=enc%3AAQAHAAAAoJ%2B0rFePB9pkllpn5WG5wmsqBLw5RaVJG%2FD1HVpBMrFvuN7gAV%2BosScwdG840PDzlVJJpQI%2FRhgt49lhqYfoVjEndNvsTessirZ5owDkBvySndR0uurlH4az0t32eQ9aJKsUvJuxz5NavRzeIN69QhDdfMhVVz65mCVu4AvO1%2BsAlVopRmQ%2BsLjxesrPeFss9rd7ErnyfBI3ZKbOEaorD54%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
2015 Topps Chrome Tom Brady #50 Patriots,0.99,"Sold  Feb 1, 2023",https://www.ebay.com/itm/155378140606?hash=item242d4245be%3Ag%3AnMYAAOSwYytjrSCk&amdata=enc%3AAQAHAAAAoLdp7yCEtOyVCeaDv9QC2ThTTu4yWkUqwWTVv3sIhoIgqYv9%2FjkrzNMIV3NPdtNtbS2u2XX6jH8XUZF1NEq5Y%2BcEeQijWrrVBVv45QOAa5zcdltURQTZ7Tn6iKVEuMwS0uE5ZY31BCzzdS9cg2VmEt3t47HH6IkTItGv2lEuX%2BIOxRr8SXU2kT60bugcHJ8xW2IOns3I%2BEAo1S4pzLANSwQ%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
2003 Fleer Authentix Tom Brady card #22 Tom Brady 3rd Year Card! 🔥 GOAT,12.5,"Sold  Feb 1, 2023",https://www.ebay.com/itm/155378140513?hash=item242d424561%3Ag%3ASbYAAOSw6CJj0gq8&amdata=enc%3AAQAHAAAAoDZR%2FcUKSGupSLqkP8oQ2NXz40jRkIj54Ch9FD66pSWbgwjjb0mOu5Sx9DcA%2BfYtNBqfGtV4%2Fi2B%2BI%2Ft%2Br6Zw6s2huwSBwSB9wCtYnK5ciW%2B6GYhhQkmlZ81LrR%2FmHHGgevjPHW6B3OCN1d8DwZb935ZA6KYYoW6y%2B5Lg%2FPMAXT6rWtq2%2FByTEDtrXWxxjYcaHsEXXQ%2B8zrIpcG0kHJ5yxY%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
2014 Bowman Tom Brady Card 56 Patriots,4.25,"Sold  Feb 1, 2023",https://www.ebay.com/itm/404126706360?hash=item5e17d42ab8%3Ag%3AZGwAAOSwpAtj0Yjp&amdata=enc%3AAQAHAAAAoENQGN0CyjZ95iNuZ%2Fv7EMbNaJtbtiE%2F3B7N8uSKjy1oMyb8RukMWxsPv3cqArxWj4Cg4d9KoA5ssWD1XaRFlIwLR2alPX5nqsQnAm%2F%2BZUM15ahtf9fIli9B5wHJ02XPxX74NUVeelxvOGxz0sWRrH77eKTfLBe1oKq4hRdxKntZS7Rtde7v7PBX7yNCd2764ilmdWrOayfIVBCs%2FIxSUUA%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
2016 Panini Contenders Season Ticket Tom Brady Card 58 Patriots,4.0,"Sold  Feb 1, 2023",https://www.ebay.com/itm/404126706369?hash=item5e17d42ac1%3Ag%3ANVQAAOSwMSljxFO9&amdata=enc%3AAQAHAAAAoHpPnomqXInOvIn2ns4A%2BJJfXU1tph88thirb8XKc9o%2BWVtzxH2CT1bRIrfvoAu6zcOBszICAU2AzH1NqNAHRYyweJZJpIGP0DdPsz%2F5I0a9iVtaLqbtAJPIXSXSsmiTRyP3YS3RqoBW%2Bi6GnzcFZtn7UDJ71GygfO1vZIQxVAcCd3E8IgaBKfrZ%2FZAyK7FuobZ9YJKti0da%2F5E7X8HCWXg%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
2010 Panini Contenders Season Ticket Tom Brady Card 95 Michigan Uniform,5.0,"Sold  Feb 1, 2023",https://www.ebay.com/itm/404126706379?hash=item5e17d42acb%3Ag%3AjREAAOSwzopjxFQ3&amdata=enc%3AAQAHAAAAoNwtCWooWQAox23uPNm4tXIWLdRpxuZEQMG9E8YNpqGCe%2F5EgODckz4WIjo0mWrTFEC209WT7mKvA7lPushNldc92RHQ5IWV0eUhpkos8WoeiReQQfA8XqeHr6dG%2B8griJs2EJ9I3rRjJ29CB3kvDZ3eFhsAHV0oJdR2nQnPUINIHYlc9QSwJqH7d8SJp3gBSs0D3svXAir4bDETHouBclM%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
2022 Mosaic Tom Brady National Pride SILVER Mosaic Prizm Bucs GOAT🔥,10.0,"Sold  Feb 1, 2023",https://www.ebay.com/itm/325512292269?hash=item4bca0b67ad%3Ag%3AqZIAAOSw2Xpj0gl7&amdata=enc%3AAQAHAAAAoGWYJutxn%2BxLbxxeLggwFO2hJgWNwmcdALBB7%2FkZ3it3sL8y%2BVBvg8fS13n4WQZTJt4p1sEoTYN1Q47LYbkEawah8nwOomqkmLJ6EUp%2Fgo7hj9VF0psZckSy%2FEi7jN0Ahpz5wmrEOYGMdEpS%2B8Nng%2F%2FaLFosXYM5KR55aNQnVZQisLPulFoQnQ6ZWmuV2YDVpK9K2DLLkvjfUzqSYfy6R3g%3D%7Ctkp%3ABk9SR66H8YzCYQ&LH_Auction=1
